      Step     Time          Energy          fmax
BFGS:    0 16:32:17    -7481.345473        0.038853
BFGS:    1 16:33:08    -7481.345543        0.037969
BFGS:    2 16:33:59    -7481.345746        0.039807
BFGS:    3 16:34:48    -7481.346004        0.056463
BFGS:    4 16:35:39    -7481.346250        0.046648
BFGS:    5 16:36:28    -7481.346380        0.021075
BFGS:    6 16:37:18    -7481.346416        0.015024
BFGS:    7 16:38:14    -7481.346431        0.009006
